date,PM2.5,PM10,SO2,NO2,CO,O3,AQI
2023/3/16,13,54,21,2,0.28,52,49
2023/3/17,43,106,41,3,0.5,27,78
2023/3/18,21,45,28,2,0.3,53,44
2023/3/19,51,97,36,2,0.44,53,80
2023/3/20,113,158,42,3,0.67,53,148
2023/3/21,122,165,41,2,0.77,61,161
2023/3/22,171,679,16,2,0.3,72,336
2023/3/23,35,155,10,3,0.14,68,102
2023/3/24,19,74,18,2,0.23,60,60
2023/3/25,24,71,24,2,0.3,53,58
2023/3/26,22,61,23,2,0.25,60,51
2023/3/27,21,62,25,2,0.24,60,52
2023/3/28,62,132,43,5,0.65,64,92
2023/3/29,88,172,46,4,0.68,92,119
2023/3/30,78,162,38,3,0.58,110,108
2023/3/31,55,117,28,2,0.42,110,84
2023/4/1,53,103,26,2,0.43,102,78
2023/4/2,75,128,41,5,0.64,78,100
2023/4/3,44,90,29,4,0.62,94,70
2023/4/4,17,40,12,2,0.33,79,40
2023/4/5,19,34,15,2,0.28,75,35
2023/4/6,14,42,10,2,0.18,74,42
2023/4/7,5,34,7,2,0.11,73,32
2023/4/8,13,52,18,2,0.2,65,50
2023/4/9,58,118,35,3,0.45,67,86
2023/4/10,108,333,40,2,0.54,58,176
2023/4/11,107,548,5,2,0.15,80,305
2023/4/12,105,388,27,2,0.32,52,277
2023/4/13,161,582,45,2,0.58,43,471
2023/4/14,79,272,23,2,0.35,65,191
2023/4/15,24,98,15,2,0.14,67,72
2023/4/16,15,54,19,2,0.17,68,49
2023/4/17,40,112,29,4,0.5,73,81
2023/4/18,33,92,33,2,0.51,76,71
2023/4/19,35,106,30,2,0.51,98,78
2023/4/20,20,98,12,2,0.2,81,73
2023/4/21,10,38,9,2,0.19,78,38
2023/4/22,19,32,15,2,0.28,56,32
2023/4/23,29,55,28,2,0.4,52,52
2023/4/24,27,64,23,2,0.35,70,56
2023/4/25,31,78,13,2,0.28,64,65
2023/4/26,14,55,22,2,0.21,70,51
2023/4/27,51,112,37,2,0.51,58,82
2023/4/28,37,85,16,2,0.32,58,67
2023/4/29,11,43,12,2,0.2,70,41
2023/4/30,13,42,18,2,0.22,75,42
2023/5/1,38,90,28,3,0.48,99,70
2023/5/2,40,100,23,3,0.59,117,77
2023/5/3,42,101,24,3,0.65,126,82
2023/5/4,31,64,16,2,0.62,83,53
2023/5/5,10,22,11,3,0.32,57,23
2023/5/6,7,24,17,2,0.21,73,29
2023/5/7,11,32,23,2,0.23,69,37
2023/5/8,18,49,24,2,0.28,91,48
2023/5/9,27,66,27,2,0.4,102,58
2023/5/10,21,57,28,2,0.38,97,55
2023/5/11,42,81,28,3,0.45,115,70
2023/5/12,38,62,28,2,0.48,81,57
2023/5/13,10,27,20,2,0.28,78,33
2023/5/14,30,72,26,3,0.47,112,69
2023/5/15,53,102,24,3,0.8,155,98
2023/5/16,48,105,18,2,0.62,135,84
2023/5/17,28,62,14,2,0.45,103,56
2023/5/18,18,50,19,2,0.49,86,49
2023/5/19,41,68,27,3,0.78,36,62
2023/5/20,49,225,9,3,0.17,66,158
2023/5/21,30,116,9,2,0.18,77,91
2023/5/22,12,36,15,2,0.16,75,37
2023/5/23,12,40,22,2,0.24,85,43
2023/5/24,29,85,15,3,0.44,127,70
2023/5/25,34,77,15,2,0.41,97,63
2023/5/26,47,90,23,2,0.51,103,75
2023/5/27,62,89,19,2,0.69,88,85
2023/5/28,28,43,13,2,0.43,103,51
2023/5/29,29,58,17,2,0.49,126,66
2023/5/30,34,60,19,2,0.5,90,54
2023/5/31,41,70,25,2,0.59,81,60
2023/6/1,29,63,20,2,0.4,78,55
2023/6/2,7,29,12,2,0.19,92,35
2023/6/3,10,28,20,2,0.23,89,36
2023/6/4,9,27,17,2,0.2,94,36
2023/6/5,18,49,20,2,0.32,111,53
2023/6/6,11,31,13,2,0.2,101,36
2023/6/7,16,50,22,2,0.3,105,52
2023/6/8,10,40,14,2,0.19,91,40
2023/6/9,8,25,18,2,0.21,67,30
2023/6/10,5,16,10,2,0.22,83,27
2023/6/11,9,24,15,2,0.36,83,32
2023/6/12,13,25,12,2,0.35,93,40
2023/6/13,7,18,16,2,0.26,99,32
2023/6/14,24,54,21,2,0.54,152,79
2023/6/15,29,67,20,4,0.65,187,94
2023/6/16,38,80,19,4,0.73,200,99
2023/6/17,35,79,24,3,0.48,173,90
2023/6/18,43,79,14,2,0.62,178,90
2023/6/19,48,73,18,3,0.61,112,69
2023/6/20,18,26,14,2,0.33,94,41
2023/6/21,8,21,26,2,0.23,93,35
2023/6/22,16,42,27,2,0.3,129,66
2023/6/23,27,63,24,3,0.5,162,85
2023/6/24,28,64,21,3,0.45,153,77
2023/6/25,33,64,15,3,0.65,146,73
2023/6/26,23,45,13,2,0.45,104,49
2023/6/27,17,35,19,2,0.4,137,65
2023/6/28,24,48,20,2,0.5,102,46
2023/6/29,15,29,18,2,0.34,112,48
2023/6/30,20,51,25,2,0.45,159,81
2023/7/1,22,58,22,2,0.45,165,81
2023/7/2,29,63,23,2,0.48,171,90
2023/7/3,37,61,13,2,0.79,128,65
2023/7/4,15,22,9,2,0.4,114,39
2023/7/5,15,46,22,2,0.31,91,44
2023/7/6,12,45,28,2,0.3,111,58
2023/7/7,12,38,17,2,0.35,101,43
2023/7/8,5,16,13,2,0.27,83,29
2023/7/9,6,16,14,2,0.27,93,29
2023/7/10,17,42,19,3,0.45,140,65
2023/7/11,20,37,10,2,0.58,158,63
2023/7/12,22,29,10,3,0.69,86,35
2023/7/13,12,15,12,3,0.57,72,24
